scenario,output,t,endpoint,metric.values,metric.levels,metric.type,id,metric.size,metric.skip_nan
scn2,drug_c,120.0,drug_c,0.2053123607962962;0.22539315672149246;0.2394329273136218;0.2528837390545799;0.2673438975560922;0.27869922794506774;0.29327369460246094;0.3129248523940804;0.3444614483233604,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m018,1024,true
scn3,drug_c,120.0,drug_c,0.6159387053164055;0.6761811751559448;0.7183004158111594;0.7586524911412651;0.8020330715855859;0.8360989454091106;0.8798224445356732;0.9387758641641115;1.0333854426310471,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m027,1024,true
scn4,drug_c,120.0,drug_c,2.0531593404048585;2.25396764499313;2.3943644386282315;2.528841813594721;2.67346796018402;2.7869966371535897;2.9327461206960646;3.1292530623232864;3.4446182982266866,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m036,1024,true
scn2,pd_output_1,120.0,pd_output_1,9.86740502566165;10.225089189732373;10.486268264704652;10.705006492249431;10.927136166812414;11.16612297436188;11.42809375042463;11.69215478159806;12.10653936538927,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m054,1024,true
scn3,pd_output_1,120.0,pd_output_1,12.267470550147847;12.689134310748045;12.933036126082598;13.228600596834987;13.473089550452759;13.745610527694977;14.006620881337515;14.347625903838189;14.862890024109499,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m063,1024,true
scn4,pd_output_1,120.0,pd_output_1,13.342225430514322;13.776099213736448;14.063786097323556;14.341053278641075;14.605105743447517;14.946927138311805;15.227861002760482;15.582950617482435;16.146743989306525,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m072,1024,true
