scenario,output,t,endpoint,metric.values,metric.levels,metric.type,id,metric.size,metric.skip_nan
scn2,drug_c,120.0,drug_c,0.23061084013350397;0.2673438975560922;0.3032367424377075,0.25;0.5;0.75,quantile,m018,1024,true
scn3,drug_c,120.0,drug_c,0.6918339857350609;0.8020330715855859;0.9097114557907329,0.25;0.5;0.75,quantile,m027,1024,true
scn4,drug_c,120.0,drug_c,2.3061210174894042;2.67346796018402;3.0323719605270893,0.25;0.5;0.75,quantile,m036,1024,true
scn2,pd_output_1,120.0,pd_output_1,10.371616219576143;10.927136166812414;11.555318217377202,0.25;0.5;0.75,quantile,m054,1024,true
scn3,pd_output_1,120.0,pd_output_1,12.82630638054329;13.473089550452759;14.15491659374594,0.25;0.5;0.75,quantile,m063,1024,true
scn4,pd_output_1,120.0,pd_output_1,13.94202402017617;14.605105743447517;15.389250454709448,0.25;0.5;0.75,quantile,m072,1024,true
