t,id,drug_c,pd_output_1,scope,scenario
120.0,1,0.271331424288416,10.901779755866876,ode_,scn2
120.0,2,0.42764352679555045,11.064245090729253,ode_,scn2
120.0,3,0.13215339803732915,8.783231325870855,ode_,scn2
120.0,4,0.18525215593181393,9.590642782033882,ode_,scn2
120.0,5,0.14860121343307067,9.76301409999782,ode_,scn2
120.0,6,0.46877176280533545,12.070471717780457,ode_,scn2
120.0,7,0.2740998277385586,9.993809532009967,ode_,scn2
120.0,8,0.3950203103109937,11.920386473861578,ode_,scn2
120.0,9,0.3218507909097875,10.898645610718813,ode_,scn2
120.0,10,0.2797170789412782,9.90500911385475,ode_,scn2
120.0,11,0.22357069982608768,10.24529111587232,ode_,scn2
120.0,12,0.5197798458893267,12.974452944399722,ode_,scn2
120.0,13,0.3837046710963867,11.889291824069204,ode_,scn2
120.0,14,0.15606555305597394,9.77023645860453,ode_,scn2
120.0,15,0.2887131070882787,10.564628925336223,ode_,scn2
120.0,16,0.20257465656192186,9.514889856666166,ode_,scn2
120.0,17,0.5703634452180708,12.483518836565803,ode_,scn2
120.0,18,0.22081671294547678,9.489387711797054,ode_,scn2
120.0,19,0.7646024252001378,12.652095595916718,ode_,scn2
120.0,20,0.7595014149153352,12.0151163531394,ode_,scn2
120.0,21,0.3535092645275922,10.870611206611073,ode_,scn2
120.0,22,0.27834759960323197,10.800607583147688,ode_,scn2
120.0,23,0.4395994196398474,12.019517900217675,ode_,scn2
120.0,24,0.1792998602600506,9.374542778237444,ode_,scn2
120.0,25,0.3065832000964325,10.870869707397716,ode_,scn2
120.0,26,0.5005893443113155,12.479042700666797,ode_,scn2
120.0,27,0.6268824395832694,12.729289452341321,ode_,scn2
120.0,28,0.55283141873496,11.695777657298624,ode_,scn2
120.0,29,0.3938904271085701,11.234060410544249,ode_,scn2
120.0,30,0.1962050263320809,9.744409743114211,ode_,scn2
120.0,31,0.28072875370975103,10.86007129705688,ode_,scn2
120.0,32,0.4027565207336253,10.715395017428293,ode_,scn2
120.0,33,0.3521222228195311,10.977711433416921,ode_,scn2
120.0,34,0.6595024393923491,12.618171350102841,ode_,scn2
120.0,35,0.2003964695666432,9.349893858947269,ode_,scn2
120.0,36,0.4658628286668939,11.661482548616153,ode_,scn2
120.0,37,0.314972297661351,11.54728187683055,ode_,scn2
120.0,38,0.43597294618566507,11.038516199740517,ode_,scn2
120.0,39,0.20540770223989835,9.557630290006339,ode_,scn2
120.0,40,0.26948847663160114,10.907207634930021,ode_,scn2
120.0,41,0.23679049756450682,10.261375990473049,ode_,scn2
120.0,42,0.15060606742878735,10.010875080617877,ode_,scn2
120.0,43,0.28573822590614334,10.755303449925567,ode_,scn2
120.0,44,0.6199601214439139,12.340640076816836,ode_,scn2
120.0,45,0.6486122645086295,11.869598386818978,ode_,scn2
120.0,46,0.3140886261064497,11.336365040624692,ode_,scn2
120.0,47,0.5289986745160583,11.26168365470344,ode_,scn2
120.0,48,0.3295583978613391,10.677068521717738,ode_,scn2
120.0,49,0.7418371363862903,13.080579239560446,ode_,scn2
120.0,50,0.3979917371968401,12.320802352369473,ode_,scn2
120.0,51,0.3594490387855143,10.608940366212117,ode_,scn2
120.0,52,0.474614846116146,12.137070782839668,ode_,scn2
120.0,53,0.2721765462639824,11.20364691930622,ode_,scn2
120.0,54,0.19968516798240807,9.112833658522192,ode_,scn2
120.0,55,0.6197460697848968,12.670845331029078,ode_,scn2
120.0,56,0.25626176575465015,10.702851058033932,ode_,scn2
120.0,57,0.15463045394460304,9.107542450274135,ode_,scn2
120.0,58,0.44392301085030034,11.486693015208584,ode_,scn2
120.0,59,0.26905639670817755,10.464058171508018,ode_,scn2
120.0,60,0.7958478895217601,12.753811758196884,ode_,scn2
120.0,61,0.36661387801239015,11.728327429942809,ode_,scn2
120.0,62,0.16597122808751114,8.908575883731205,ode_,scn2
120.0,63,0.2196305118118514,9.86939407541556,ode_,scn2
120.0,64,0.238666643696546,10.854699153793513,ode_,scn2
120.0,65,0.5000643084708133,11.637351746081364,ode_,scn2
120.0,66,0.16073811332536123,9.470818302776596,ode_,scn2
120.0,67,0.24465471394633656,10.415148891987112,ode_,scn2
120.0,68,0.21231481797204516,8.785710113992183,ode_,scn2
120.0,69,0.2901097322568632,8.636347788294916,ode_,scn2
120.0,70,0.1722065871314743,9.251486895887894,ode_,scn2
120.0,71,0.14531323033502838,9.515653179533153,ode_,scn2
120.0,72,0.3331410006897122,10.774081336285867,ode_,scn2
120.0,73,0.17772187748245288,9.720023420004168,ode_,scn2
120.0,74,0.1386499837205045,9.070107252485691,ode_,scn2
120.0,75,0.21938176149458666,10.121900917926663,ode_,scn2
120.0,76,0.16091185286498003,10.217116029106197,ode_,scn2
120.0,77,0.18892176450398568,9.430512285411812,ode_,scn2
120.0,78,0.12812048916868912,8.473926605683275,ode_,scn2
120.0,79,0.2917723920771369,10.094555134127429,ode_,scn2
120.0,80,0.24568790532148954,10.743587549769721,ode_,scn2
120.0,81,0.25534798572655637,10.244690059526771,ode_,scn2
120.0,82,0.2081011061740987,10.879246086041416,ode_,scn2
120.0,83,0.25418810572033557,10.844107103016688,ode_,scn2
120.0,84,0.48776962257362455,12.212252841979941,ode_,scn2
120.0,85,0.24587612667273617,10.431441820468063,ode_,scn2
120.0,86,0.2709641047912969,11.194914996372145,ode_,scn2
120.0,87,0.22901465931403783,10.322437829809157,ode_,scn2
120.0,88,0.8014306240487454,12.425301550690115,ode_,scn2
120.0,89,0.20282490639560735,9.569680569532954,ode_,scn2
120.0,90,0.39366058460635545,11.452911510238021,ode_,scn2
120.0,91,0.691195260562472,12.423524065468182,ode_,scn2
120.0,92,0.5927588179444304,12.63962790020551,ode_,scn2
120.0,93,0.28440849869908646,10.649444683308547,ode_,scn2
120.0,94,0.20383499113520132,9.327511444238066,ode_,scn2
120.0,95,0.24173652518175004,9.596910205812161,ode_,scn2
120.0,96,0.16327977063876015,9.31091535760632,ode_,scn2
120.0,97,0.1565155085307632,9.170429646207001,ode_,scn2
120.0,98,0.26426928013054896,11.535557394171029,ode_,scn2
120.0,99,0.8148291553076591,12.966853371500573,ode_,scn2
120.0,100,0.15024150946864637,9.145817786315945,ode_,scn2
120.0,101,0.2991787588749676,10.072093622070721,ode_,scn2
120.0,102,0.15586237615661322,10.185540026894994,ode_,scn2
120.0,103,0.1704365320678227,8.695410695715443,ode_,scn2
120.0,104,0.14734553364711309,9.010102331986296,ode_,scn2
120.0,105,0.3094377793351813,11.879633002649602,ode_,scn2
120.0,106,0.24145435318500902,10.995348203202798,ode_,scn2
120.0,107,0.15744828907564906,8.673075820619712,ode_,scn2
120.0,108,0.14969622989515854,8.13043556477668,ode_,scn2
120.0,109,0.13940415611357657,8.810135148154355,ode_,scn2
120.0,110,0.21431865274517908,9.900542245851215,ode_,scn2
120.0,111,0.39490718659783486,11.904464124405457,ode_,scn2
120.0,112,0.2958927291324771,11.01723560854482,ode_,scn2
120.0,113,0.34665936099109373,11.203513714757625,ode_,scn2
120.0,114,0.42475354593037934,9.618043966808159,ode_,scn2
120.0,115,0.38015174278824654,11.742212142695042,ode_,scn2
120.0,116,0.40621468465163885,11.141822736464022,ode_,scn2
120.0,117,0.17106205904469418,9.496359299808892,ode_,scn2
120.0,118,0.18619690827024962,9.549230936945072,ode_,scn2
120.0,119,0.1512422382776921,8.904533225687661,ode_,scn2
120.0,120,0.5070613564003712,12.452964927194177,ode_,scn2
